Promotion title,promotion amount
25% Off with Text Sign Up,25%OFF
20% Off with Macy's Credit Card,20%OFF
25% Off Select Orders with Email Signup,25%OFF
Extra 20% Off Clearance + Sale Items,20%OFF
Extra 20% Off Handbags & Accessories,20%OFF
Extra 20% Off Men's T-Shirts,20%OFF
25% Off Select Dresses,25%OFF
BOGO 50% Off Select Sunglasses,BOGO50% OFF
Up to 70% Off Last Act Jewelry,70%OFF
20-40% Off Easter Essentials,40%OFF
30-50% Off Underwear & Lingerie,50%OFF
20% Off Men's NCAA Apparel,20%OFF
70% Off Select Clearance Products,70%OFF
"20% Off Blushes, Bronzers & Highlighters from Clinique",20%OFF
60% Off Select Designer Shoes,60%OFF
Free Shipping on $49+ Buys,FREESHIPPING
30% Off Levi's Items,30%OFF
20% Off Women's Tops,20%OFF
New Shoe Arrivals for $75 & Under,$75& UNDER
Spring Cleaning Essentials 30-40% Off,40%OFF
Sale Hats Under $10,$10& UNDER
40% Off Select Booties,40%OFF
15-50% Off Toys,50%OFF
70% Off Select Last Act Styles,70%OFF
