Promotion title,promotion amount
Up to 40% Off + Extra 20% Off With Code,UP TO40%OFF
5% Cash Back For Purchases Sitewide,5%BACK
25% Off With Macy's Text Sign Up,25%OFF
"Macy's April Coupons, Promo Codes And Deals",SALE
Extra 20% Off Kids Sale & Clearance Clothing,20%OFF
Free Shipping on $49+ & Free Returns,FREESHIPPING
All Cardmembers! 25% Off Any Day With Macy's Star Passes,25%OFF
Up to an Extra 15% Off Home Styles,UP TO15%OFF
25% Off Women's Easter Suits & Suit Separates + Extra 15% Off With Code,15%OFF
25% Off Your Next Order With Macy's Email Sign Up,25%OFF
Free Shipping For Gold And Platinum Star Rewards Members,FREESHIPPING
Up to 70% Off Clearance,UP TO70%OFF
Extra 20% Off Select Sale & Clearance Fine Jewelry,10%OFF
Great Shoe Sale! 30% Off 1 Pair Or 40% Off 2+ Pairs With Code,UP TO40%OFF
Diamond Sale! Up to 70% Off Diamond Jewelry!,UP TO70%OFF
Star Rewards Members Get $10 Star Money!,SALE
Free Shipping on $25+ For Macy’s Star Rewards Members,FREESHIPPING
"Free Shipping, No Min With Platinum Or Gold Macy's Credit Card",FREESHIPPING
Women’s Dresses Under $150,SALE
Up to 70% Off Women's Sale & Clearance Shoes,UP TO70%OFF
Same Day Delivery! Get It Today When You Order By 12pm Local Time,SALE
Shop Toys R Us at Macy's!,SALE
"Buy Online, Pick Up In Store",SALE
Buy Online And Get Free Curbside Pickup!,SALE
Shop Macy’s Home Great Values For Incredible Every Day Pricing!,SALE
20% Off Godiva Select Food & Gourmet Gifts,20%OFF
Up to 50% Off Select Fragrances,UP TO50%OFF
Free Gift With Your $35 Clinique Purchase,FREEGIFT
Extra 20% Off Sale & Clearance Handbags & Accessories,20%OFF
50% Off Glassware & Flatware From Lenox & Oneida,50%OFF
Up to 70% Off Jewelry Specials,UP TO70%OFF
"Barbie Toys From Toys""R""Us Now at Macys.com!",SALE
30% Off Select Styles From Levi’s,30%OFF
Comforter Set Starting at $29.99,FROM$29.99
Free Gifts With Beauty & Fragrances Purchase + Free Shipping,FREEGIFT
Easter Toy Specials! Toys Under $20,ONLY$20
30% Off Designer Fashion Jewelry,30%OFF
Up to 50% Off Select Sale & Clearance Toys,UP TO50%OFF
Toys Under $20,ONLY$20
"Paw Patrol Toys From Toys""R""Us Now at Macys.com!",SALE
50% Off Kids’ Dresses & Dresswear,50%OFF
Up to 40% Off Handbags & Wallets,UP TO40%OFF
Up to 50% Off Men’s Designer Suits From Calvin Klein & More,UP TO50%OFF
40% Off Women's Designer Watches,40%OFF
50% Off Luggage,50%OFF
20% Off Godiva Easter And Spring Candy,20%OFF
40% Off Coach Badge Jacquard Elise Satchel With Convertible Strap,40%OFF
"Hot Wheels Toys From Toys""R""Us Now at Macys.com!",SALE
Up to 40% Off Furniture & Mattresses,UP TO40%OFF
"15% Off Toys From LEGO, Barbie & More",15%OFF
