Promotion title,promotion amount
Easter Sale! Up to 40% Off All Things Easter + Extra 20% Off Your Order,40% Off
Up to 50% Off Women's Clothing and Accessories,50% Off
Great Shoe Sale! Up to 40% Off Your Order,
25% Off & Be the First to Know about Our Sales and Events With Macy's Email Sign Up,25% Off
Great Shoe Sale! Up to 40% Off Your Order,40% Off
Extra 20% Off Select Sale & Clearance Fine Jewelry,20% Off
Up to 50% Off Men's Clothing and Accessories,50% Off
Over 50% Off Shoes,50% Off
Free Shipping on Orders Over $49,Free Ship
Up to 50% Off Men's Designer Suits,50% Off
Up to 60% Off Kid's Dresses,60% Off
30-Day Return Policy,Top Tip
Macy’s Wedding Registry: Up to 25% Off Exclusive Offers and Rewards!,25% Off
Earn 11% Cashback and Get 20% Off Created for Macy's Brands,Deal
Diamond Sale! Up to 70% Off Diamond Jewelry!,70% Off
Style and Trend Shopping at Macy’s Live!,Top Tip
Up to 80% Off Sale Items,On Sale
"Over 50% Off, Free Items and More in Current Promotions",50% Off
40% Off Designer Markdowns,40% Off
"Buy More, Save More! Up to 30% Off Men's Basics",30% Off
"Buy One, Get One 50% Off Select Full-Priced Sunglasses",50% Off
Up to 50% Off Kid's Clothing and Accessories,50% Off
Up to 20% Off and Great Benefits With Macy's Credit Card,20% Off
Up to 70% Off Clearance Items,On Sale
"Sign Up for Macy’s Star Rewards and Get Free Shipping on Orders $25 Or More, Plus Free Returns",Free Ship
Star Money Members Get $10 Star Money for Every $50 Spent With a Macy's Card,Top Tip
Toys under $20,Top Tip
Up to $60 Off Polarized Sunglasses,$60 Off
Free Curbside Pickup,Top Tip
Macy's Customer Service Contact Information,Top Tip
Macy's App: Receive Early Access to Events + Exclusive Offers,Top Tip
Beauty & Makeup Services,Top Tip
Up to 50% Off and Free Gifts With Select Beauty Purchases,50% Off
Gift Finder: Shop All Gifts,Top Tip
Shop Own Your Style,Top Tip
Handbags under $100,Top Tip
Get 7 Pieces Free With Your $35 Clinique Purchase. Up to a $108 Value!,Free
$5 Off Your Next Beauty Order Plus Free Chic Pouch and 5 Deluxe Samples With Beauty Box Subscription,$5 Off
