Promotion title,promotion amount,site
Up to 40% Off + Extra 20% Off With Code,UP TO40%OFF,retailmenot.com
5% Cash Back For Purchases Sitewide,5%BACK,retailmenot.com
25% Off With Macy's Text Sign Up,25%OFF,retailmenot.com
"Macy's April Coupons, Promo Codes And Deals",SALE,retailmenot.com
Extra 20% Off Kids Sale & Clearance Clothing,20%OFF,retailmenot.com
Free Shipping on $49+ & Free Returns,FREESHIPPING,retailmenot.com
All Cardmembers! 25% Off Any Day With Macy's Star Passes,25%OFF,retailmenot.com
Up to an Extra 15% Off Home Styles,UP TO15%OFF,retailmenot.com
25% Off Women's Easter Suits & Suit Separates + Extra 15% Off With Code,15%OFF,retailmenot.com
25% Off Your Next Order With Macy's Email Sign Up,25%OFF,retailmenot.com
Free Shipping For Gold And Platinum Star Rewards Members,FREESHIPPING,retailmenot.com
Up to 70% Off Clearance,UP TO70%OFF,retailmenot.com
Extra 20% Off Select Sale & Clearance Fine Jewelry,10%OFF,retailmenot.com
Great Shoe Sale! 30% Off 1 Pair Or 40% Off 2+ Pairs With Code,UP TO40%OFF,retailmenot.com
Diamond Sale! Up to 70% Off Diamond Jewelry!,UP TO70%OFF,retailmenot.com
Star Rewards Members Get $10 Star Money!,SALE,retailmenot.com
Free Shipping on $25+ For Macy’s Star Rewards Members,FREESHIPPING,retailmenot.com
"Free Shipping, No Min With Platinum Or Gold Macy's Credit Card",FREESHIPPING,retailmenot.com
Women’s Dresses Under $150,SALE,retailmenot.com
Up to 70% Off Women's Sale & Clearance Shoes,UP TO70%OFF,retailmenot.com
Same Day Delivery! Get It Today When You Order By 12pm Local Time,SALE,retailmenot.com
Shop Toys R Us at Macy's!,SALE,retailmenot.com
"Buy Online, Pick Up In Store",SALE,retailmenot.com
Buy Online And Get Free Curbside Pickup!,SALE,retailmenot.com
Shop Macy’s Home Great Values For Incredible Every Day Pricing!,SALE,retailmenot.com
20% Off Godiva Select Food & Gourmet Gifts,20%OFF,retailmenot.com
Up to 50% Off Select Fragrances,UP TO50%OFF,retailmenot.com
Free Gift With Your $35 Clinique Purchase,FREEGIFT,retailmenot.com
Extra 20% Off Sale & Clearance Handbags & Accessories,20%OFF,retailmenot.com
50% Off Glassware & Flatware From Lenox & Oneida,50%OFF,retailmenot.com
Up to 70% Off Jewelry Specials,UP TO70%OFF,retailmenot.com
"Barbie Toys From Toys""R""Us Now at Macys.com!",SALE,retailmenot.com
30% Off Select Styles From Levi’s,30%OFF,retailmenot.com
Comforter Set Starting at $29.99,FROM$29.99,retailmenot.com
Free Gifts With Beauty & Fragrances Purchase + Free Shipping,FREEGIFT,retailmenot.com
Easter Toy Specials! Toys Under $20,ONLY$20,retailmenot.com
30% Off Designer Fashion Jewelry,30%OFF,retailmenot.com
Up to 50% Off Select Sale & Clearance Toys,UP TO50%OFF,retailmenot.com
Toys Under $20,ONLY$20,retailmenot.com
"Paw Patrol Toys From Toys""R""Us Now at Macys.com!",SALE,retailmenot.com
50% Off Kids’ Dresses & Dresswear,50%OFF,retailmenot.com
Up to 40% Off Handbags & Wallets,UP TO40%OFF,retailmenot.com
Up to 50% Off Men’s Designer Suits From Calvin Klein & More,UP TO50%OFF,retailmenot.com
40% Off Women's Designer Watches,40%OFF,retailmenot.com
50% Off Luggage,50%OFF,retailmenot.com
20% Off Godiva Easter And Spring Candy,20%OFF,retailmenot.com
40% Off Coach Badge Jacquard Elise Satchel With Convertible Strap,40%OFF,retailmenot.com
"Hot Wheels Toys From Toys""R""Us Now at Macys.com!",SALE,retailmenot.com
Up to 40% Off Furniture & Mattresses,UP TO40%OFF,retailmenot.com
"15% Off Toys From LEGO, Barbie & More",15%OFF,retailmenot.com
