Promotion title,promotion amount,site
Easter Sale! Up to 40% Off All Things Easter + Extra 20% Off Your Order,40% Off,savings.com
Up to 50% Off Women's Clothing and Accessories,50% Off,savings.com
Great Shoe Sale! Up to 40% Off Your Order,,savings.com
25% Off & Be the First to Know about Our Sales and Events With Macy's Email Sign Up,25% Off,savings.com
Great Shoe Sale! Up to 40% Off Your Order,40% Off,savings.com
Extra 20% Off Select Sale & Clearance Fine Jewelry,20% Off,savings.com
Up to 50% Off Men's Clothing and Accessories,50% Off,savings.com
Over 50% Off Shoes,50% Off,savings.com
Free Shipping on Orders Over $49,Free Ship,savings.com
Up to 50% Off Men's Designer Suits,50% Off,savings.com
Up to 60% Off Kid's Dresses,60% Off,savings.com
30-Day Return Policy,Top Tip,savings.com
Macy’s Wedding Registry: Up to 25% Off Exclusive Offers and Rewards!,25% Off,savings.com
Earn 11% Cashback and Get 20% Off Created for Macy's Brands,Deal,savings.com
Diamond Sale! Up to 70% Off Diamond Jewelry!,70% Off,savings.com
Style and Trend Shopping at Macy’s Live!,Top Tip,savings.com
Up to 80% Off Sale Items,On Sale,savings.com
"Over 50% Off, Free Items and More in Current Promotions",50% Off,savings.com
40% Off Designer Markdowns,40% Off,savings.com
"Buy More, Save More! Up to 30% Off Men's Basics",30% Off,savings.com
"Buy One, Get One 50% Off Select Full-Priced Sunglasses",50% Off,savings.com
Up to 50% Off Kid's Clothing and Accessories,50% Off,savings.com
Up to 20% Off and Great Benefits With Macy's Credit Card,20% Off,savings.com
Up to 70% Off Clearance Items,On Sale,savings.com
"Sign Up for Macy’s Star Rewards and Get Free Shipping on Orders $25 Or More, Plus Free Returns",Free Ship,savings.com
Star Money Members Get $10 Star Money for Every $50 Spent With a Macy's Card,Top Tip,savings.com
Toys under $20,Top Tip,savings.com
Up to $60 Off Polarized Sunglasses,$60 Off,savings.com
Free Curbside Pickup,Top Tip,savings.com
Macy's Customer Service Contact Information,Top Tip,savings.com
Macy's App: Receive Early Access to Events + Exclusive Offers,Top Tip,savings.com
Beauty & Makeup Services,Top Tip,savings.com
Up to 50% Off and Free Gifts With Select Beauty Purchases,50% Off,savings.com
Gift Finder: Shop All Gifts,Top Tip,savings.com
Shop Own Your Style,Top Tip,savings.com
Handbags under $100,Top Tip,savings.com
Get 7 Pieces Free With Your $35 Clinique Purchase. Up to a $108 Value!,Free,savings.com
$5 Off Your Next Beauty Order Plus Free Chic Pouch and 5 Deluxe Samples With Beauty Box Subscription,$5 Off,savings.com
